tox,tsi,vg,l,l1,l2,l3
2.0,2.0,0.0,90.0,30.0,30.0,30.0
2.0,2.0,0.0,95.0,31.667,31.667,31.667
2.0,2.0,0.0,100.0,33.333,33.333,33.333
2.0,2.0,0.0,105.0,35.0,35.0,35.0
2.0,2.0,0.0,110.0,36.667,36.667,36.667
2.0,2.0,0.0,115.0,38.333,38.333,38.333
2.0,2.0,0.0,120.0,40.0,40.0,40.0
2.0,2.0,0.0,125.0,41.667,41.667,41.667
2.0,2.0,0.0,130.0,43.333,43.333,43.333
2.0,2.0,0.0,135.0,45.0,45.0,45.0
2.0,2.0,0.0,140.0,46.667,46.667,46.667
2.0,2.0,0.0,145.0,48.333,48.333,48.333
2.0,2.0,0.0,150.0,50.0,50.0,50.0
2.0,2.0,0.0,155.0,51.667,51.667,51.667
2.0,2.0,0.0,160.0,53.333,53.333,53.333
2.0,2.0,0.0,165.0,55.0,55.0,55.0
2.0,2.0,0.0,170.0,56.667,56.667,56.667
2.0,2.0,0.0,175.0,58.333,58.333,58.333
2.0,2.0,0.0,180.0,60.0,60.0,60.0
2.0,2.0,0.1,90.0,30.0,30.0,30.0
2.0,2.0,0.1,95.0,31.667,31.667,31.667
2.0,2.0,0.1,100.0,33.333,33.333,33.333
2.0,2.0,0.1,105.0,35.0,35.0,35.0
2.0,2.0,0.1,110.0,36.667,36.667,36.667
2.0,2.0,0.1,115.0,38.333,38.333,38.333
2.0,2.0,0.1,120.0,40.0,40.0,40.0
2.0,2.0,0.1,125.0,41.667,41.667,41.667
2.0,2.0,0.1,130.0,43.333,43.333,43.333
2.0,2.0,0.1,135.0,45.0,45.0,45.0
2.0,2.0,0.1,140.0,46.667,46.667,46.667
2.0,2.0,0.1,145.0,48.333,48.333,48.333
2.0,2.0,0.1,150.0,50.0,50.0,50.0
2.0,2.0,0.1,155.0,51.667,51.667,51.667
2.0,2.0,0.1,160.0,53.333,53.333,53.333
2.0,2.0,0.1,165.0,55.0,55.0,55.0
2.0,2.0,0.1,170.0,56.667,56.667,56.667
2.0,2.0,0.1,175.0,58.333,58.333,58.333
2.0,2.0,0.1,180.0,60.0,60.0,60.0
2.0,2.0,0.2,90.0,30.0,30.0,30.0
2.0,2.0,0.2,95.0,31.667,31.667,31.667
2.0,2.0,0.2,100.0,33.333,33.333,33.333
2.0,2.0,0.2,105.0,35.0,35.0,35.0
2.0,2.0,0.2,110.0,36.667,36.667,36.667
2.0,2.0,0.2,115.0,38.333,38.333,38.333
2.0,2.0,0.2,120.0,40.0,40.0,40.0
2.0,2.0,0.2,125.0,41.667,41.667,41.667
2.0,2.0,0.2,130.0,43.333,43.333,43.333
2.0,2.0,0.2,135.0,45.0,45.0,45.0
2.0,2.0,0.2,140.0,46.667,46.667,46.667
2.0,2.0,0.2,145.0,48.333,48.333,48.333
2.0,2.0,0.2,150.0,50.0,50.0,50.0
2.0,2.0,0.2,155.0,51.667,51.667,51.667
2.0,2.0,0.2,160.0,53.333,53.333,53.333
2.0,2.0,0.2,165.0,55.0,55.0,55.0
2.0,2.0,0.2,170.0,56.667,56.667,56.667
2.0,2.0,0.2,175.0,58.333,58.333,58.333
2.0,2.0,0.2,180.0,60.0,60.0,60.0
2.0,2.0,0.3,90.0,30.0,30.0,30.0
2.0,2.0,0.3,95.0,31.667,31.667,31.667
2.0,2.0,0.3,100.0,33.333,33.333,33.333
2.0,2.0,0.3,105.0,35.0,35.0,35.0
2.0,2.0,0.3,110.0,36.667,36.667,36.667
